Date,Open,High,Low,Close,Adj Close,Volume
2014-04-30,2.460000,2.488000,2.124000,2.458000,2.458000,2542473725
2014-05-31,2.480000,2.664000,2.230000,2.256000,2.256000,2943379194
2014-06-30,2.264000,2.386000,2.094000,2.230000,2.230000,2961617223
2014-07-31,2.230000,2.348000,2.010000,2.264000,2.264000,2482477864
2014-08-31,2.272000,2.504000,2.216000,2.406000,2.406000,3009368676
2014-09-30,2.394000,2.430000,2.002000,2.338000,2.338000,4524249353
2014-10-31,2.336000,2.486000,2.114000,2.478000,2.478000,3584939888
2014-11-30,2.452000,2.586000,2.254000,2.422000,2.422000,3772679567
2014-12-31,2.422000,2.680000,2.216000,2.598000,2.598000,3942786632
2015-01-31,2.588000,2.996000,2.472000,2.984000,2.984000,3208951724
2015-02-28,3.000000,3.240000,2.842000,3.166000,3.166000,2893332892
2015-03-31,3.158000,3.240000,2.964000,3.016000,3.016000,2471865189
2015-04-30,3.016000,3.376000,2.936000,3.282000,3.282000,2921556537
2015-05-31,3.300000,3.502000,3.058000,3.252000,3.252000,2768738377
2015-06-30,3.276000,3.654000,2.924000,3.502000,3.502000,2755678873
2015-07-31,3.518000,3.546000,2.888000,3.254000,3.254000,2332255509
2015-08-31,3.218000,3.318000,3.004000,3.156000,3.156000,2371360937
2015-09-30,3.188000,3.298000,3.084000,3.168000,3.168000,1977163988
2015-10-31,3.156000,3.270000,3.038000,3.248000,3.248000,1766905541
2015-11-30,3.274000,3.296000,2.962000,3.088000,3.088000,1613177674
2015-12-31,3.088000,3.088000,2.484000,2.618000,2.618000,2448247531
2016-01-31,2.624000,2.660000,2.124000,2.342000,2.342000,3333953924
2016-02-29,2.322000,2.786000,2.318000,2.418000,2.418000,2878178940
2016-03-31,2.386000,2.524000,2.148000,2.420000,2.420000,2673751505
2016-04-30,2.412000,2.456000,2.156000,2.308000,2.308000,2771022831
2016-05-31,2.308000,2.328000,1.522000,1.702000,1.702000,4463609658
2016-06-30,1.786000,2.002000,1.557000,1.970000,1.970000,3900607912
2016-07-31,2.050000,2.130000,1.802000,2.130000,2.130000,2772184999
2016-08-31,2.132000,2.220000,1.852000,1.974000,1.974000,2447388532
